strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location														
UnitedArabEmirates/skmc-009/2020	EPI_ISL_582618	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
UnitedArabEmirates/skmc-001/2020	EPI_ISL_582624	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
UnitedArabEmirates/skmc-0532497/2020	EPI_ISL_582620	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
Lithuania/KU-LUHS-Eilnr10/2020	EPI_ISL_603085	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al																	
UnitedArabEmirates/skmc-205223/2020	EPI_ISL_582634	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
Lithuania/MR-LUHS-Eilnr12/2020	EPI_ISL_541849	"Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology"		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr33/2020	EPI_ISL_541855	"Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology"		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr40/2020	EPI_ISL_541857	"Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology"		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr43/2020	EPI_ISL_541858	"Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology"		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr32/2020	EPI_ISL_603091	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr31/2020	EPI_ISL_541854	"Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology"		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr46/2020	EPI_ISL_541860	"Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology"		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr50/2020	EPI_ISL_541862	"Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology"		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr45/2020	EPI_ISL_541859	"Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology"		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr51/2020	EPI_ISL_541863	"Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology"		Lukas Zemaitis et al																	
Lithuania/KU-LUHS-Eilnr61/2020	EPI_ISL_603096	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr73/2020	EPI_ISL_603100	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr75/2020	EPI_ISL_603101	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr65/2020	EPI_ISL_541869	"Lithuanian University of Health Sciences, Laboratory of Molecular Cardiology"		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr67/2020	EPI_ISL_603097	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr92/2020	EPI_ISL_603107	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al																	
Lithuania/MR-LUHS-Eilnr91/2020	EPI_ISL_603106	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al																	
Canada/ON_VIDO-01/2020	EPI_ISL_413015	National Microbiology Laboratory		Shari Tyson et al		Asia															
Canada/ON_ON-VIDO-01-2/2020	EPI_ISL_425177	Public Health Agency of Canada - National Microbiology Laboratory		Amrit S. Boese et al																	
USA/CA-CDC-4/2020	EPI_ISL_408009	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Krista Queen et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)																	
USA/CA-CDC-3/2020	EPI_ISL_408008	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Krista Queen et al A (https://dx.doi.org/10.1101/2020.03.09.20032896)																	
Singapore/470/2020	EPI_ISL_477170	Department of Laboratory Medicine Tan Tock Seng Hospital		Chen YYC et al																	
Singapore/469/2020	EPI_ISL_476795	"Department of Laboratory Medicine, Tan Tock Seng Hospital"		Chen YYC et al																	
Singapore/15/2020	EPI_ISL_418996	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al																	
Spain/AN-ISCIII-2013382/2020	EPI_ISL_578186	Instituto de Salud Carlos III		Iglesias-Caballero et al A																	
India/MH-1-31/2020	EPI_ISL_413523	"National Influenza Center, Indian Council of Medical Research-National Institute of Virology"		Potdar V et al A (https://dx.doi.org/10.4103/ijmr.IJMR_663_20)																	
Malaysia/MKAK-CL-2020-5096/2020	EPI_ISL_416885	Malaysia Genome Institute		Mohd Noor Mat Isa et al																	
Malaysia/IMR_WC119/2020	EPI_ISL_455790	Malaysia Genome Institute		Mohd Noor Mat Isa et al																	
SouthKorea/KCDC2061/2020	EPI_ISL_497962	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
SouthKorea/KCDC05/2020	EPI_ISL_412869	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)																	
SouthKorea/KCDC2002/2020	EPI_ISL_425118	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
England/01/2020	EPI_ISL_407071	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)		Asia															
England/02/2020	EPI_ISL_407073	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)		Asia															
England/2/2020	EPI_ISL_610245	"Virology, National Institute for Biological Standards and Control"		Mee et al																	
SouthKorea/KCDC07/2020	EPI_ISL_412871	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
SouthKorea/CNUHV03-CA22/2020	EPI_ISL_591070	"College of Veterinary Medicine, Chungnam National University"		Seo et al																	
SouthKorea/KCDC2062/2020	EPI_ISL_497963	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
SouthKorea/KCDC03/2020	EPI_ISL_407193	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases		Jeong-Min Kim et al C																	
SouthKorea/KCDC06/2020	EPI_ISL_412870	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
Thailand/SI202769-NT/2020	EPI_ISL_437614	Faculty of Medicine		Rodpan et al																	
Thailand/SI202620-NT/2020	EPI_ISL_437615	Faculty of Medicine		Rodpan et al																	
Thailand/SI202872-NT/2020	EPI_ISL_437613	Faculty of Medicine		Rodpan et al																	
Thailand/MUMT-3/2020	EPI_ISL_493137	"Center for Research and Innovation, Faculty of Medical Technology, Mahidol University"		Kantima Sangsiriwut et al																	
Thailand/Bangkok_1716/2020	EPI_ISL_447920	"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand"		Pilailuk et al A																	
Thailand/CU-SI2011649-NST/2020	EPI_ISL_937532	"Thai Red Cross Emerging Infectious Diseases Center and Faculty of Medicine, Chulalongkorn University"		Opass Putcharoen et al																	
USA/WA1/2020	EPI_ISL_404895	"Division of Viral Diseases, Centers for Disease Control and Prevention"		Queen et al A (https://dx.doi.org/10.1101/2020.03.02.972935)		Asia															
Singapore/20/2020	EPI_ISL_418993	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al																	
Malaysia/MKAK-CL-2020-6430/2020	EPI_ISL_416886	Malaysia Genome Institute		Mohd Noor Mat Isa et al																	
Mexico/CMX-INMEGEN-12/2020	EPI_ISL_522942	Instituto Nacional de Medicina Genómica		Hidalgo-Miranda A et al																	
Ecuador/USFQ-165/2020	EPI_ISL_516650	"Institute of Microbiology, Universidad San Francisco de Quito"		Prado-Vivar et al																	
Taiwan/TSGH-34/2020	EPI_ISL_447593	TSGH-CP molecular lab		Cherng-Lih Perng et al																	
Panama/328941/2020	EPI_ISL_496617	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Vietnam/38238/2020	EPI_ISL_660541	"National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)"		Le Quynh Mai et al																	
Vietnam/38142/2020	EPI_ISL_416427	"National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)"		Le Quynh Mai et al																	
Vietnam/VR03-38142/2020	EPI_ISL_408668	National Influenza Center - National Institute of Hygiene and Epidemiology (NIHE)		Ung Thi Hong Trang et al																	
Vietnam/CM99/2020	EPI_ISL_416429	"National Influenza Center, National Institute of Hygiene and Epidemiology (NIHE)"		Le Quynh Mai et al																	
Guatemala/CDC-1234/2020	EPI_ISL_509701	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Ying Tao et al A																	
Panama/332252/2020	EPI_ISL_496706	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Taiwan/CGMH-CGU-29/2020	EPI_ISL_464093	"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan"		Kuo-Chien Tsao et al A																	
SouthKorea/KCDC2291/2020	EPI_ISL_510627	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
SouthKorea/KCDC2300/2020	EPI_ISL_510636	"Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Jeong-Min Kim et al A																	
USA/AZ1/2020	EPI_ISL_406223	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Ying Tao et al B (https://dx.doi.org/10.1101/2020.03.09.20032896)		Asia															
Thailand/Bangkok_580/2020	EPI_ISL_447918	"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand"		Pilailuk et al A																	
Thailand/SI202205-NT/2020	EPI_ISL_437616	Faculty of Medicine		Rodpan et al																	
Vietnam/PIHCM-14/2020	EPI_ISL_654866	Department of Microbiology and Immunology - Pasteur Institute in Ho Chi Minh city		Cao Minh Thắng et al																	
Japan/TY-WK-012/2020	EPI_ISL_408665	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al C (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)																	
Japan/TY-WK-521/2020	EPI_ISL_408667	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Japan/TY-WK-501/2020	EPI_ISL_408666	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
UnitedArabEmirates/skmc-920168117/2020	EPI_ISL_582125	Molecular Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
UnitedArabEmirates/skmc-920569110/2020	EPI_ISL_582126	Molecular Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
UnitedArabEmirates/skmc-920568379/2020	EPI_ISL_582608	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al																	
UnitedArabEmirates/L5630/2020	EPI_ISL_435137	Al Jalila Genomics Center		Ahmad Abou Tayoun et al A (https://dx.doi.org/10.1101/2020.05.06.080606)																	
Panama/328710/2020	EPI_ISL_496606	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/333271/2020	EPI_ISL_496736	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/337660/2020	EPI_ISL_496863	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/337467/2020	EPI_ISL_496861	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/GMI-PA376271/2020	EPI_ISL_1001457	Gorgas memorial Institute For Health Studies		Díaz Y et al																	
CostaRica/INC-0246/2021	EPI_ISL_1201437	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
Panama/336491/2020	EPI_ISL_496851	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/340836/2020	EPI_ISL_496906	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/336418/2020	EPI_ISL_496848	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/337442/2020	EPI_ISL_496860	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/336897/2020	EPI_ISL_496854	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Ecuador/USFQ-556/2020	EPI_ISL_728204	"Institute of Microbiology, Universidad San Francisco de Quito"		Sully Márquez et al																	
Panama/GMI-PA584303/2020	EPI_ISL_1001458	Gorgas memorial Institute for Health Studies		Díaz Y et al																	
USA/NY-PRL-2021_03_03_00B02/2021	EPI_ISL_1172965	"Pandemic Response Lab, R&D"		Henry Lee et al																	
USA/NY-NYCPHL-003667/2021	EPI_ISL_1200557	New York City Public Health Laboratory		Jade Wang et al																	
CostaRica/INC-0228/2021	EPI_ISL_914834	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
CostaRica/INC-0252/2021	EPI_ISL_1067593	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
Luxembourg/LNS9360161/2021	EPI_ISL_910602	"Laboratoire national de sante, Microbiology, Microbial Genomics Platform"		Anke Wienecke-Baldacchino et al																	
Luxembourg/LNS0547948/2021	EPI_ISL_910601	"Laboratoire national de sante, Microbiology, Microbial Genomics Platform"		Anke Wienecke-Baldacchino et al																	
Luxembourg/LNS4380338/2021	EPI_ISL_910605	"Laboratoire national de sante, Microbiology, Microbial Genomics Platform"		Anke Wienecke-Baldacchino et al																	
CostaRica/INC-0223/2021	EPI_ISL_914829	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
CostaRica/INC-0218/2021	EPI_ISL_914824	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
CostaRica/INC-0272/2021	EPI_ISL_1067595	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
CostaRica/INC-0278/2021	EPI_ISL_1196421	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
CostaRica/INC-0245/2021	EPI_ISL_1067600	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
CostaRica/INC-0295/2021	EPI_ISL_1196438	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
CostaRica/INC-0283/2021	EPI_ISL_1196426	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
CostaRica/INC-0284/2021	EPI_ISL_1196427	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
CostaRica/INC-0263/2021	EPI_ISL_1067592	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
CostaRica/INC-0255/2021	EPI_ISL_1067599	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
CostaRica/INC-0266/2021	EPI_ISL_1067591	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al																	
Spain/VC-FISABIO-6/2020	EPI_ISL_416485	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		Griselda De Marco et al A (https://dx.doi.org/10.1101/2020.04.20.050039)			Valencia ES														
Spain/RI-ISCIII-201277/2020	EPI_ISL_455336	Instituto de Salud Carlos III		Iglesias-Caballero et al A																	
Spain/PV-ISCIII-201388/2020	EPI_ISL_455351	Instituto de Salud Carlos III		Iglesias-Caballero et al A																	
Panama/328709/2020	EPI_ISL_496605	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/328723/2020	EPI_ISL_496609	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/328719/2020	EPI_ISL_496607	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Spain/MD-ISCIII-201091/2020	EPI_ISL_871973	Instituto de Salud Carlos III		Iglesias-Caballero et al A																	
Spain/VC-FISABIO-5/2020	EPI_ISL_416484	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		Maria Dolores Ocete et al (https://dx.doi.org/10.1101/2020.04.20.050039)			Valencia ES														
Spain/VC-FISABIO-23/2020	EPI_ISL_419687	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		Giuseppe D'Auria et al			Valencia ES														
Spain/VC-FISABIO-4/2020	EPI_ISL_416483	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		Maria Alma Bracho et al		Italy	Valencia ES														
Spain/PV-IBV-000860/2020	EPI_ISL_452692	SeqCOVID-SPAIN consortium/IBV(CSIC)		Silvia Hernáez Crespo et al			Vitoria-Gasteiz														
Spain/PV-IBV-000692/2020	EPI_ISL_452772	SeqCOVID-SPAIN consortium/IBV(CSIC)		Silvia Hernáez Crespo et al			Vitoria-Gasteiz														
Spain/VC-FISABIO-54/2020	EPI_ISL_425178	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		David Navarro et al			Valencia ES														
Spain/VC-FISABIO-266/2020	EPI_ISL_436361	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		Neris Garcia-Gonzalez et al A			Valencia ES														
Georgia/Tb-390/2020	EPI_ISL_416477	"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia."		Marine Murtskhvaladze et al																	
Kazakhstan/7263/2020	EPI_ISL_454571	"National Center for Expertise, National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al																	
Spain/MD-IBV-99012374/2020	EPI_ISL_779969	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid														
EquatorialGuinea/253/2020	EPI_ISL_648318	"University Hospital Basel, Clinical Bacteriology"		Carlos Cortes et al																	
EquatorialGuinea/10071/2020	EPI_ISL_649155	"University Hospital Basel, Clinical Bacteriology"		Carlos Cortes et al																	
Poland/Wro-02/2020	EPI_ISL_437625	"Laboratory of Genomics & Bioinformatics, Institute of Immunology and Experimental Therapy, Polish Academy of Sciences"		Dorota Kujawa et al																	
Kazakhstan/NCB-5/2020	EPI_ISL_435048	"RSE ""National Center for Biotechnology"""		Alexandr Shevtsov et al																	
Kazakhstan/26827/2020	EPI_ISL_454516	"RSE ""National Center for Biotechnology"""		Alexandr Shevtsov et al																	
Kazakhstan/26828/2020	EPI_ISL_454517	"RSE ""National Center for Biotechnology"""		Alexandr Shevtsov et al																	
Panama/335013/2020	EPI_ISL_496801	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/336567/2020	EPI_ISL_496853	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Panama/336377/2020	EPI_ISL_496844	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)																	
Kazakhstan/7341/2020	EPI_ISL_454572	"National Center for Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al																	
Kazakhstan/18243/2020	EPI_ISL_454500	"RSE ""National Center for Biotechnology"""		Alexandr Shevtsov et al																	
Kazakhstan/16183/2020	EPI_ISL_454576	"Laboratory of molecular-genetic research, National Center of Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al																	
Kazakhstan/17920/2020	EPI_ISL_454577	"Laboratory of molecular-genetic research, National Center of Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al																	
Kazakhstan/18287/2020	EPI_ISL_454580	"Laboratory of molecular-genetic research, National Center of Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al																	
Kazakhstan/18148/2020	EPI_ISL_454579	"Laboratory of molecular-genetic research, National Center of Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al																	
Kazakhstan/22001/2020	EPI_ISL_454582	"Laboratory of molecular-genetic research, National Center of Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al																	
Kazakhstan/22044/2020	EPI_ISL_454584	"Laboratory of molecular-genetic research, National Center for Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al																	
Kazakhstan/16173/2020	EPI_ISL_454497	"RSE ""National Center for Biotechnology"""		Alexandr Shevtsov et al																	
Spain/AN-ISCIII-2013676/2020	EPI_ISL_578187	Instituto de Salud Carlos III		Iglesias-Caballero et al A																	
Spain/AN-ISCIII-2013675/2020	EPI_ISL_578188	Instituto de Salud Carlos III		Iglesias-Caballero et al A																	
Taiwan/3/2020	EPI_ISL_411926	Taiwan Centers for Disease Control		Ji-Rong Yang et al A (https://dx.doi.org/10.1080/22221751.2020.1782271)																	
Australia/NSW01/2020	EPI_ISL_407893	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		Eden J-S et al (https://www.nature.com/articles/s41591-020-1000-7)		Asia															
Belgium/rega-0710751/2020	EPI_ISL_522350	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al																	
Belgium/rega-0616914/2020	EPI_ISL_734763	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Begijnendijk														
Belgium/rega-0619917/2020	EPI_ISL_734770	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al																	
Belgium/rega-0616915/2020	EPI_ISL_734764	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Wijgmaal														
Bolivia/26958/2020	EPI_ISL_837576	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"		Paola Resende et al A																	
Uruguay/UY-8M/2020	EPI_ISL_480345	"Microbial Genomics Laboratory, Institut Pasteur de Montevideo"		Cecilia Salazar et al A																	
