strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location											
Taiwan/CGMH-CGU-29/2020	EPI_ISL_464093	"Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan"		Kuo-Chien Tsao et al A														
Guatemala/CDC-1234/2020	EPI_ISL_509701	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Ying Tao et al A														
Spain/VC-FISABIO-6/2020	EPI_ISL_416485	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		Griselda De Marco et al A (https://dx.doi.org/10.1101/2020.04.20.050039)			Valencia ES											
Panama/328709/2020	EPI_ISL_496605	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
Panama/328710/2020	EPI_ISL_496606	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
Panama/333271/2020	EPI_ISL_496736	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
Panama/337660/2020	EPI_ISL_496863	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
Panama/GMI-PA376271/2020	EPI_ISL_1001457	Gorgas memorial Institute For Health Studies		Díaz Y et al														
CostaRica/INC-0246/2021	EPI_ISL_1201437	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
Panama/337467/2020	EPI_ISL_496861	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
Panama/337442/2020	EPI_ISL_496860	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
Panama/336897/2020	EPI_ISL_496854	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
Ecuador/USFQ-556/2020	EPI_ISL_728204	"Institute of Microbiology, Universidad San Francisco de Quito"		Sully Márquez et al														
Panama/GMI-PA584303/2020	EPI_ISL_1001458	Gorgas memorial Institute for Health Studies		Díaz Y et al														
CostaRica/INC-0228/2021	EPI_ISL_914834	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0252/2021	EPI_ISL_1067593	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0245/2021	EPI_ISL_1067600	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0223/2021	EPI_ISL_914829	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0218/2021	EPI_ISL_914824	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0272/2021	EPI_ISL_1067595	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0278/2021	EPI_ISL_1196421	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0295/2021	EPI_ISL_1196438	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0283/2021	EPI_ISL_1196426	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0284/2021	EPI_ISL_1196427	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0263/2021	EPI_ISL_1067592	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0255/2021	EPI_ISL_1067599	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
CostaRica/INC-0266/2021	EPI_ISL_1067591	"Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud"		Francisco Duarte et al														
Spain/RI-ISCIII-201277/2020	EPI_ISL_455336	Instituto de Salud Carlos III		Iglesias-Caballero et al A														
Spain/PV-ISCIII-201388/2020	EPI_ISL_455351	Instituto de Salud Carlos III		Iglesias-Caballero et al A														
Panama/328723/2020	EPI_ISL_496609	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
Spain/MD-ISCIII-201091/2020	EPI_ISL_871973	Instituto de Salud Carlos III		Iglesias-Caballero et al A														
Panama/328719/2020	EPI_ISL_496607	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
Spain/VC-FISABIO-5/2020	EPI_ISL_416484	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		Maria Dolores Ocete et al (https://dx.doi.org/10.1101/2020.04.20.050039)			Valencia ES											
Spain/VC-FISABIO-54/2020	EPI_ISL_425178	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		David Navarro et al			Valencia ES											
Spain/VC-FISABIO-23/2020	EPI_ISL_419687	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		Giuseppe D'Auria et al			Valencia ES											
Spain/PV-IBV-000860/2020	EPI_ISL_452692	SeqCOVID-SPAIN consortium/IBV(CSIC)		Silvia Hernáez Crespo et al			Vitoria-Gasteiz											
Spain/PV-IBV-000692/2020	EPI_ISL_452772	SeqCOVID-SPAIN consortium/IBV(CSIC)		Silvia Hernáez Crespo et al			Vitoria-Gasteiz											
Spain/VC-FISABIO-4/2020	EPI_ISL_416483	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		Maria Alma Bracho et al		Italy	Valencia ES											
Spain/VC-FISABIO-266/2020	EPI_ISL_436361	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health		Neris Garcia-Gonzalez et al			Valencia ES											
Kazakhstan/7263/2020	EPI_ISL_454571	"National Center for Expertise, National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al														
Georgia/Tb-390/2020	EPI_ISL_416477	"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia."		Marine Murtskhvaladze et al														
Spain/MD-IBV-99012374/2020	EPI_ISL_779969	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid											
EquatorialGuinea/253/2020	EPI_ISL_648318	"University Hospital Basel, Clinical Bacteriology"		Carlos Cortes et al														
EquatorialGuinea/10071/2020	EPI_ISL_649155	"University Hospital Basel, Clinical Bacteriology"		Carlos Cortes et al														
Panama/336377/2020	EPI_ISL_496844	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
Kazakhstan/7341/2020	EPI_ISL_454572	"National Center for Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al														
Kazakhstan/NCB-5/2020	EPI_ISL_435048	"RSE ""National Center for Biotechnology"""		Alexandr Shevtsov et al														
Kazakhstan/26827/2020	EPI_ISL_454516	"RSE ""National Center for Biotechnology"""		Alexandr Shevtsov et al														
Kazakhstan/16183/2020	EPI_ISL_454576	"Laboratory of molecular-genetic research, National Center of Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al														
Kazakhstan/17920/2020	EPI_ISL_454577	"Laboratory of molecular-genetic research, National Center of Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al														
Kazakhstan/18148/2020	EPI_ISL_454579	"Laboratory of molecular-genetic research, National Center of Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al														
Kazakhstan/18287/2020	EPI_ISL_454580	"Laboratory of molecular-genetic research, National Center of Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al														
Kazakhstan/22044/2020	EPI_ISL_454584	"Laboratory of molecular-genetic research, National Center for Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al														
Kazakhstan/22001/2020	EPI_ISL_454582	"Laboratory of molecular-genetic research, National Center of Expertise, Kazakhstan National Center for Biotechnology, Kazakhstan"		Abdaliyev Askar et al														
Kazakhstan/16173/2020	EPI_ISL_454497	"RSE ""National Center for Biotechnology"""		Alexandr Shevtsov et al														
Spain/AN-ISCIII-2013675/2020	EPI_ISL_578188	Instituto de Salud Carlos III		Iglesias-Caballero et al A														
Spain/AN-ISCIII-2013676/2020	EPI_ISL_578187	Instituto de Salud Carlos III		Iglesias-Caballero et al A														
Malaysia/MKAK-CL-2020-5096/2020	EPI_ISL_416885	Malaysia Genome Institute		Mohd Noor Mat Isa et al														
Malaysia/IMR_WC119/2020	EPI_ISL_455790	Malaysia Genome Institute		Mohd Noor Mat Isa et al														
Thailand/SI202620-NT/2020	EPI_ISL_437615	Faculty of Medicine		Rodpan et al														
Thailand/SI202769-NT/2020	EPI_ISL_437614	Faculty of Medicine		Rodpan et al														
Thailand/SI202872-NT/2020	EPI_ISL_437613	Faculty of Medicine		Rodpan et al														
Thailand/MUMT-3/2020	EPI_ISL_493137	"Center for Research and Innovation, Faculty of Medical Technology, Mahidol University"		Kantima Sangsiriwut et al														
Thailand/Bangkok_1716/2020	EPI_ISL_447920	"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand"		Pilailuk et al A														
Thailand/CU-SI2011649-NST/2020	EPI_ISL_937532	"Thai Red Cross Emerging Infectious Diseases Center and Faculty of Medicine, Chulalongkorn University"		Opass Putcharoen et al														
Singapore/20/2020	EPI_ISL_418993	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al														
USA/WA1/2020	EPI_ISL_404895	"Division of Viral Diseases, Centers for Disease Control and Prevention"		Queen et al A (https://dx.doi.org/10.1101/2020.03.02.972935)		Asia												
Malaysia/MKAK-CL-2020-6430/2020	EPI_ISL_416886	Malaysia Genome Institute		Mohd Noor Mat Isa et al														
Mexico/CMX-INMEGEN-12/2020	EPI_ISL_522942	Instituto Nacional de Medicina Genómica		Hidalgo-Miranda A et al														
Ecuador/USFQ-165/2020	EPI_ISL_516650	"Institute of Microbiology, Universidad San Francisco de Quito"		Prado-Vivar et al														
Taiwan/TSGH-34/2020	EPI_ISL_447593	TSGH-CP molecular lab		Cherng-Lih Perng et al														
Panama/328941/2020	EPI_ISL_496617	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
USA/AZ1/2020	EPI_ISL_406223	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Ying Tao et al B (https://dx.doi.org/10.1101/2020.03.09.20032896)		Asia												
Thailand/Bangkok_580/2020	EPI_ISL_447918	"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand"		Pilailuk et al A														
Vietnam/PIHCM-14/2020	EPI_ISL_654866	Department of Microbiology and Immunology - Pasteur Institute in Ho Chi Minh city		Cao Minh Thắng et al														
Thailand/SI202205-NT/2020	EPI_ISL_437616	Faculty of Medicine		Rodpan et al														
Japan/TY-WK-012/2020	EPI_ISL_408665	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)														
Japan/TY-WK-521/2020	EPI_ISL_408667	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B														
Japan/TY-WK-501/2020	EPI_ISL_408666	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B														
UnitedArabEmirates/skmc-920168117/2020	EPI_ISL_582125	Molecular Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al														
UnitedArabEmirates/skmc-920569110/2020	EPI_ISL_582126	Molecular Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al														
UnitedArabEmirates/skmc-920568379/2020	EPI_ISL_582608	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al														
UnitedArabEmirates/L5630/2020	EPI_ISL_435137	Al Jalila Genomics Center		Ahmad Abou Tayoun et al A (https://dx.doi.org/10.1101/2020.05.06.080606)														
Taiwan/3/2020	EPI_ISL_411926	Taiwan Centers for Disease Control		Ji-Rong Yang et al A (https://dx.doi.org/10.1080/22221751.2020.1782271)														
Australia/NSW01/2020	EPI_ISL_407893	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		Eden J-S et al (https://www.nature.com/articles/s41591-020-1000-7)		Asia												
Panama/332252/2020	EPI_ISL_496706	Gorgas Memorial Laboratory of Health Studies		Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)														
Belgium/rega-0616915/2020	EPI_ISL_734764	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Wijgmaal											
Belgium/rega-0710751/2020	EPI_ISL_522350	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al														
Belgium/rega-0616914/2020	EPI_ISL_734763	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Begijnendijk											
Belgium/rega-0619917/2020	EPI_ISL_734770	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al														
Uganda/UG027/2020	EPI_ISL_737951	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al														
Uruguay/UY-8M/2020	EPI_ISL_480345	"Microbial Genomics Laboratory, Institut Pasteur de Montevideo"		Cecilia Salazar et al A														
Bolivia/26958/2020	EPI_ISL_837576	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"		Paola Resende et al A														
Mexico/CMX-InDRE_03/2020	EPI_ISL_424667	Instituto de Diagnóstico y Referencia Epidemiológicos		Irma López Martínez et al (https://dx.doi.org/10.1101/2020.05.27.120402)														
Mexico/CMX-INER-0014/2020	EPI_ISL_837616	Instituto Nacional de Enfermedades Respiratorias (INER)		Celia Boukadida et al														
Uruguay/Mdeo-1/2020	EPI_ISL_444493	"Facultad de Ciencias (Sección Genética Evolutiva, Sección Virología)."		Panzera et al														
Uruguay/UY-1/2020	EPI_ISL_426476	"Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay"		Cecilia Salazar et al B (https://dx.doi.org/10.1101/2020.05.09.086223)														
Uruguay/UY-2/2020	EPI_ISL_426477	"Microbial Genomics Laboratory, Institut Pasteur Montevideo, Uruguay"		Cecilia Salazar et al B (https://dx.doi.org/10.1101/2020.05.09.086223)														
Uruguay/UY-NYUMC869/2020	EPI_ISL_457965	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Uruguay/UY-NYUMC856/2020	EPI_ISL_457952	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Uruguay/UY-NYUMC860/2020	EPI_ISL_457956	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Uruguay/UY-NYUMC862/2020	EPI_ISL_457958	"Departments of Pathology and Medicine, New York University School of Medicine"		Maria Victoria Elizondo et al														
Mexico/QUE-InDRE-04/2020	EPI_ISL_424670	Instituto de Diagnóstico y Referencia Epidemiologicos		Gisela Barrera Badillo et al (https://dx.doi.org/10.1101/2020.05.27.120402)														
Mexico/QUE-InDRE-18/2020	EPI_ISL_455456	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		Rodriguez-Maldonado Abril et al														
Spain/MD-IBV-99008605/2020	EPI_ISL_654189	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid											
Spain/MD-IBV-99009619/2020	EPI_ISL_654336	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid											
Spain/MD-IBV-99009629/2020	EPI_ISL_654338	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid											
Spain/MD-IBV-99009630/2020	EPI_ISL_654339	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid											
Spain/MD-IBV-99008606/2020	EPI_ISL_654190	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid											
Spain/MD-IBV-006354/2020	EPI_ISL_510104	SeqCOVID-SPAIN consortium/IBV(CSIC)		Laura Pérez-Lago et al														
Spain/MD-IBV-004897/2020	EPI_ISL_481107	SeqCOVID-SPAIN consortium/IBV(CSIC)		Laura Pérez-Lago et al														
Peru/LIM-UPCH-0081/2020	EPI_ISL_540959	"Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia"		Pablo Tsukayama et al														
Taiwan/NTU01/2020	EPI_ISL_408489	"Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine"		Shiou-Hwei Yeh et al A														
Belgium/GHB-03021/2020	EPI_ISL_407976	"KU Leuven, Clinical and Epidemiological Virology"		Bert Vanmechelen et al (https://dx.doi.org/10.1101/2020.05.05.078758)		Asia												
Uganda/UG034/2020	EPI_ISL_737954	MRC/UVRI & LSHTM Uganda Research Unit		Matthew Cotten et al														
Singapore/466/2020	EPI_ISL_475997	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al														
Germany/HH-hpi-p2414/2020	EPI_ISL_776485	"Heinrich Pette Institute, Leibniz Institute for Experimental Virology"		Alexis Robitaille et al														
Ghana/UHAS-G541/2020	EPI_ISL_648125	UHAS COVID-19 Lab		Kwabena O. Duedu et al														
Mali/M002698/2020	EPI_ISL_487457	Bundeswehr Institut of Microbiology		Kouriba et al														
Germany/HH-hpi-p2390/2020	EPI_ISL_776466	"Heinrich Pette Institute, Leibniz Institute for Experimental Virology"		Alexis Robitaille et al														
Germany/HH-hpi-p2481/2020	EPI_ISL_775648	"Heinrich Pette Institute, Leibniz Institute for Experimental Virology"		Alexis Robitaille et al														
Germany/HH-hpi-p2485/2020	EPI_ISL_776542	"Heinrich Pette Institute, Leibniz Institute for Experimental Virology"		Alexis Robitaille et al														
Germany/HH-hpi-p2484/2020	EPI_ISL_776541	"Heinrich Pette Institute, Leibniz Institute for Experimental Virology"		Alexis Robitaille et al														
Australia/QLD01/2020	EPI_ISL_407894	Public Health Virology Laboratory		Ben Huang et al A		Asia												
Australia/QLD03/2020	EPI_ISL_410717	Public Health Virology Laboratory		Ben Huang et al B (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)														
Australia/VIC07/2020	EPI_ISL_416415	"Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute"		Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)														
Australia/QLD04/2020	EPI_ISL_410718	Public Health Virology Laboratory		Ben Huang et al A														
SierraLeone/KGH-G-8790/2020	EPI_ISL_512821	"Kenema Government Hospital, Ministry of Health and Sanitation"		Goba et al														
SierraLeone/KGH-G-8625/2020	EPI_ISL_512816	"Kenema Government Hospital, Ministry of Health and Sanitation"		Goba et al														
SierraLeone/KGH-G-8669/2020	EPI_ISL_512820	"Kenema Government Hospital, Ministry of Health and Sanitation"		Goba et al														
SierraLeone/KGH-G-8668/2020	EPI_ISL_512819	"Kenema Government Hospital, Ministry of Health and Sanitation"		Goba et al														
SierraLeone/KGH-G-8626/2020	EPI_ISL_512817	"Kenema Government Hospital, Ministry of Health and Sanitation"		Goba et al														
Senegal/618/2020	EPI_ISL_420077	Institut Pasteur de Dakar		Ndongo Dia et al														
Gabon/ITM-K011/2020	EPI_ISL_539573	"Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University"		Haruka Abe et al														
Nigeria/OS085-CV14/2020	EPI_ISL_455424	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al A (https://virological.org/t/sars-cov-2-genomes-from-nigeria-reveal-community-transmission-multiple-virus-lineages-and-spike-protein-mutation-associated-with-higher-transmission-and-pathogenicity/494)														
Zambia/ZMB-27674/2020	EPI_ISL_977384	UNZAVET and PATH		Mulenga Mwenda-Chimfwembe et al														
Bahrein/BAH-24/2020	EPI_ISL_483638	Erasmus Medical Center		Bas Oude Munnink et al														
CotedIvoire/BKE0016/2020	EPI_ISL_614349	"Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute"		Chantal Akoua-Koffi et al														
Mali/UCRC-31/2020	EPI_ISL_812967	"University Clinical Research Center, University of Sciences"		Diarra et al														
Jordan/IR-ALSR-2578/2020	EPI_ISL_635777	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al														
Oman/89477/2020	EPI_ISL_766570	Oman-National Influenza Center		Samiha Al-Kharusi et al														
Egypt/CUNCI-HGC9I036/2020	EPI_ISL_857336	"Cancer Biology Department, National Cancer Institute"		Zekri et al														
Egypt/CUNCI-HGC09I039/2020	EPI_ISL_907096	"Cancer Biology Department, National Cancer Institute"		Zekri et al														
BurkinaFaso/2-009/2020	EPI_ISL_660450	Centre Muraz		Abdoul-Salam Ouedraogo et al														
BurkinaFaso/2-012/2020	EPI_ISL_660451	Centre Muraz		Abdoul-Salam Ouedraogo et al														
Mali/M002615/2020	EPI_ISL_487447	Bundeswehr Institut of Microbiology		Kouriba et al														
Ghana/WACCBIP-GS28/2020	EPI_ISL_884849	"Department of Biochemistry, Cell and Molecular Biology, West African Centre for Cell Biology of Infectious Pathogens (WACCBIP), University of Ghana"		Ngoi et al														
Tunisia/COV0010-12/2020	EPI_ISL_463001	Clinical virology		Fares et al (https://dx.doi.org/10.22541/au.159137642.26983355)														
Benin/1950/2020	EPI_ISL_476830	Charité-Universitätsmedizin Berlin		Yadouleton et al (https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1)		Europe												
Benin/2012/2020	EPI_ISL_476831	Charité-Universitätsmedizin Berlin		Yadouleton et al (https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1)		Europe												
Tunisia/5516/2021	EPI_ISL_1208399	"1-Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia"		Sameh Trabelsi et al														
Slovenia/99407/2021	EPI_ISL_1181840	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al														
Slovenia/76280/2021	EPI_ISL_1181861	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al														
Slovenia/76392/2021	EPI_ISL_1181859	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al														
